Probe Set ID	Percentile
1553430_a_at	-75.76
1553432_s_at	-71.6257
1553433_at	-70.6349
1553434_at	-58.2019
1553435_at	-89.3196
1553436_at	-38.026
1553437_at	-96.9014
1553438_at	-95.1815
1553439_at	-97.1813
1553440_at	-51.2867
1553441_at	-73.1272
1553442_a_at	-63.3109
1553443_at	-95.7861
1553444_a_at	41.5333
1553446_at	-80.691
1553447_at	-69.2705
1553448_at	-91.1067
1553449_at	-94.8171
1553450_s_at	26.2793
1553451_at	-90.4804
1553452_at	-77.7609
1553453_at	-47.7857
1553454_at	-67.7205
1553456_at	27.01
1553457_at	58.3143
1553458_at	-81.4172
1553459_at	-58.0119
1553460_at	66.498
1553461_at	-83.2626
1553462_at	-88.1514
1553464_at	37.6542
1553465_a_at	-81.9409
1553466_at	-84.7536
1553467_at	-66.8358
1553468_at	22.1538
1553470_at	15.806
1553471_at	-84.1849
1553472_at	-53.9355
1553474_at	-82.6932
1553475_at	-89.8796
1553478_at	-82.4387
1553479_at	-63.2118
1553482_at	-87.2384
1553483_at	44.352
1553484_at	-97.1112
1553485_at	-80.0287
1553486_a_at	-54.2716
1553488_at	59.9879
1553489_a_at	54.2717
1553491_at	29.9945
1553492_a_at	0.946339
1553493_a_at	-64.7679
1553494_at	-66.5359
1553497_at	-83.6838
1553498_at	-99.3804
1553499_s_at	-95.1308
1553500_at	-56.9469
1553502_a_at	-85.9007
1553504_at	-64.8288
1553505_at	-57.8863
1553506_at	-66.8091
1553507_a_at	0.902415
1553508_at	-78.8079
1553510_s_at	-16.0631
1553511_at	33.7347
1553512_at	40.4421
1553513_at	88.4409
1553514_a_at	95.1859
1553515_at	47.8053
1553517_at	-95.3335
1553518_at	-77.5268
1553519_at	-70.8387
1553521_at	-91.1266
1553523_at	1.83727
1553524_at	-67.5567
1553525_at	-83.9575
1553526_at	-72.5555
1553527_at	48.1093
1553528_a_at	-71.3466
1553529_at	-75.7854
1553530_a_at	-42.2656
1553531_at	-90.992
1553532_a_at	85.0628
1553533_at	-57.5587
1553534_at	-65.6777
1553535_a_at	-34.6325
1553536_at	-78.1995
1553537_at	-97.9295
1553538_s_at	8.58472
1553539_at	37.2264
1553540_a_at	-54.3482
1553541_at	-74.6962
1553542_at	94.2103
1553544_at	24.954
1553545_at	2.60821
1553546_at	-86.7594
1553547_at	-59.5371
1553549_at	-85.7335
1553550_at	8.09553
1553551_s_at	6.26204
1553552_at	51.0118
1553553_at	-79.7069
1553555_at	-73.3402
1553556_at	-98.3728
1553558_at	-76.5841
1553559_at	-57.3743
1553560_at	0.374138
1553561_at	-75.1773
1553562_at	-82.1256
1553564_at	-18.275
1553565_s_at	-55.2282
1553566_at	27.5297
1553567_s_at	4.51973
1553568_a_at	94.7576
1553569_at	4.23853
1553570_x_at	4.2694
1553572_a_at	-74.4468
1553573_s_at	39.4712
1553574_at	-74.9408
1553575_at	-74.4138
1553579_a_at	-67.8673
1553581_s_at	-15.8883
1553582_a_at	-76.0815
1553583_a_at	-71.1427
1553584_at	-98.6391
1553585_a_at	6.86727
1553586_at	27.7983
1553587_a_at	-33.2919
1553588_at	6.89264
1553589_a_at	-85.416
1553590_at	55.1815
1553591_at	-97.158
1553592_x_at	-65.9081
1553593_a_at	-65.8604
1553594_a_at	24.093
1553599_a_at	-53.6304
1553600_at	-91.5955
1553601_a_at	-77.7389
1553602_at	-62.5137
1553603_s_at	-72.807
1553604_at	-73.7185
1553605_a_at	-85.6463
1553607_at	-94.4039
1553608_a_at	61.918
1553611_s_at	-64.1912
1553612_at	-6.20577
1553613_s_at	-31.5571
1553614_a_at	-60.4769
1553618_at	-72.3839
1553619_a_at	-59.8928
1553620_at	0.197271
1553622_a_at	-50.5168
